Name,  Meaning,Gender
Abhinatha,  Lord of desires; Another name for kama,M
Abhinav,  Quite new; Novel,M
Abhinava,  New; Young; Fresh; Modern; A sakta notable for his great leaning and spiritual attainment,M
Abhinay,  Expression,M
Abhineet, Perfect,M
Abhinit,  Acted,M
Abhinn, Different,M
Abhiraam,  Pleasing,M
Abhiraj,  Fearless King,M
Abhiram,  Lovely; Pleasing,M
Abhirath,  Great charioteer,M
Abhiroop,  Handsome,M
Abhirup,  Pleasing,M
Abhisaar,  First raise of sun,M
Abhisar,  Companion,M
Abhisha,  Sky,M
Abhishek,  Shower of Milk or Water over an idol; An auspicious bath for a deity; Anointing,M
Abhisoka,  Passionate; Loving,M
Abhisumat,Radiant; Another name of sun,M
Abhiveer, One who commands; One who is surrounded by heroes or warriors,M
Abhivira, Surrounded by heroes; A commander,M
Abhra,  Cloud,M
Abhyagni,  Towards the fire; A son of Aitasa,M
Abhyudaya,  Sunrise; Elevation; Increase; Prosperity,M
Abhyudita,  Elevated; Risen; Prosperous,M
Abid,  Worshipper of God,M
Abimanyu, Arjuna's Son,M
Abishek,  Ritual,M
Abjayoni,  Born of the lotus; Another name for Brahma,M
Abjit,  Conquering water,M
Acalapati,  Lord of the immovable; Lord of mountain,M
Acalendra,  Lord of the immovable; The Himalayas,M
Acanda,  Not of the hot temper; Without anger; Gentle,M
Acarya,  Teacher; Another name for Drona; Asvaghosa and krpa,M
Acchindra,  Flawless; Uninterrupted; Perfect,M
Acchutan,  Lord Vishnu,M
Achal,Constant,M
Achalraj,  Himalayan mountain,M
Achintya,  Inconceivable; A name of Lord Shiva; Beyond comprehension,M
Achyut,  Imperishable; A name of Vishnu,M
Achyuta,  Indestructible,M
Achyuthan,  Indestructible,M
Acintya,  Surpassing thought; Incogitable,M
Adarsh,  Ideal,M
Adavak,  Simple; Uncomplicated,M
Adeep, Light,M
Adesh,  Command,M
Adham,  Black,M
Adhavan,  Brilliant,M
Adhavaryu,  Prayer,M
Adheesh,  King,M
Adhik,  Greater,M
Adhikara,  Principal; Controller,M
Adhiksit,  King; Lord,M
Adhip,  King,M
Adhipa, King; Ruler,M
Adhiraj,  King,M
Adhish,  Lord; Master,M
Adhit,  Scholarly; Intelligent; Wise,M
Adhita,  A scholar,M
Adhyansh, Admired; Honored; Respected,M
Adi,  More; Extra,M
Adikavi, First poet,M
Adinath,  The first lord; Lord Vishnu,M
Adit,  From the beginning,M
Aditeya,  Another name for the sun,M
Adithya,  Sun God; Son of Adithi,M
Aditya, The sun,M
Adraksh,  Lightning,M
Adrian, Rich,M
Adrij,  Belonging to the mountains,M
Adripathi,  Master of the mountains,M
Advait,  Unique,M
Advaita,  Focussed,M
Advaith,  Non Duality;,M
Advay,  Unique,M
Advik,  Unique,M
Advitiya,  Unique,M
Adwaita, Non duality,M
Adway, One; United,M
Adwaya, Unique,M
Agampreet, Love for god,M
Agasthya, A name of a sage,M
Agasti, Name of a sage,M
Agastya, Name of a sage,M
Agendra, King of mountains,M
Agha,  Pre eminent,M
Agharna,  The moon,M
Aghat,  Destroyer of sin,M
Agnello,  Angel,M
Agneya,  Son of agni,M
Agni,  Flame,M
Agnimitra,  Friend of fire,M
Agniprava,  Bright as the fire,M
Agnivesh,  Bright as the fire,M
Agraj,  Leader; Senior,M
Agrata,  Leadership,M
Agrim,  Leader; First,M
Agrima, Advance,M
Agriya,  First best,M
Agyeya,  Beyond comprehension; Beyond knowledge,M
Ahan, Dawn; Morning,M
Ahana, Gain,M
Ahdas,  New; Novel,M
Ahijit, Conquerer of the serpent,M
Ahilan,Knowledgeable; Commanding,M
Ahir, The Devotee and God are One,M
Ahsan,  Mercy,M
Ahsas, Feel,M
Aja, Unborn,M
Ajaat,  Unborn,M
Ajamil, A mythological king,M
Ajanta,  Eternal fame,M
Ajay,  Unconquerable; Invincible,M
Ajinkya, Invincible,M
Ajit, Unconquerable Ajeet; Invincible,M
Ajitabh,  One who has conquered the sky,M
Ajitav,  Showing path,M
Ajitesh, Vishnu,M
Ajoy, Joyful,M
Akaash, Sky,M
Akalank, Without any flaws,M
Akalmash, Stainless,M
Akalpa,Ornament,M
Akand,  Calm,M
Akarsh,   Attractive,M
Akash,   The sky,M
Akhash,   Price; Worth; Value,M
Akhil,   Complete,M
Akhilesh,   Lord of the universe; Indestructible; Immortal,M
Akhyath,   Famous,M
Akilesh,   Lord and Master of Universe,M
Akrash,   Attractive,M
Akroor,   Kind,M
Aksh,   Chariot of thousand horses,M
Akshai,   Genius,M
Akshaj,   Lord Vishnu,M
Akshan,   Eye,M
Akshar,   Imperishable,M
Akshat,  Uninjurable,M
Akshath,  Indestructible,M
Akshay,   Indestructible,M
Akshdeep,   King of sky,M
Aksheen,   Very strong,M
Akshit,   Permanent,M
Akshobhya,   Lord Vishnu,M
Akshun,   A significant particle,M
Akul,   A name of Lord Shiva,M
Akush,   Lap,M
Akyas,   Wise; Intelligent,M
Alaa,   Nobility; Excellence,M
Alaap,   Musical notes in a order,M
Alabhya,   Durlabh,M
Alagan,   Handsome,M
Alagappan,   Handsome,M
Alagarasu,   Handsome king; King of beauty,M
Alam,   The whole world,M
Alamgir,   The lord of the whole world,M
Alan,   Rock or Noble,M
Alankar,   Gold; Ornament,M
Alay,   Gift,M
Alkesh,   Lord of Alkapuri,M
Alok,   A man with lovely hair; Cry of victory,M
Aloke,   Light,M
Aloki,   Brightness,M
Alpesh,   Tiny,M
Alya,   Apt,M
Amal,   Bright; Clean; Pure; Unblemished,M
Amalendu,   The unblemished moon,M
Amalesh,   The pure one,M
Aman,   Peace,M
Amanath, Treasure,M
Amanjeet, Peace attainder,M
Amanpal,  Peace protector,M
Amanuday, Peace rising,M
Amar,  Forever; Immortal,M
Amara,  Immortal,M
Amardeep,  Eternal light,M
Amaris,  Child of the Moon,M
Amarjeet, Victorious,M
Amarnath,  Immortal god,M
Amarpreet,  Immortal love of God,M
Amartya,  Immortal,M
Amay,  Lord ganesha,M
Ambar,Sky,M
Ambareesh,  King of the sky,M
Ambarish,The sky,M
Ambarisha,Lord of the sky,M
Amber,  The sky,M
Amberdeep,  Light of the Sky,M
Ambud,  Cloud,M
Ambuj,  Lotus,M
Ameen, Divine grace,M
Ameer, Ruler; Prince,M
Ameet, Boundless,M
Ameya,  Boundless; Magnanimous; Immeasurable,M
Ameyatma,  Lord Vishnu,M
Amin, Divine grace,M
Amir, Rich,M
Amish, Honest,M
Amit,  Endless; Boundless; Without limit,M
Amitaabh,  Boundless lustre,M
Amitabh, One with boundless splendour,M
Amitabha, Limitless lustre; Name of Lord Buddha,M
Amitav,  Limitless lustre; Name of Lord Buddha,M
Amitava, Same as Amitabh,M
Amitay, Limitless,M
Amitesh, Infinite god,M
Amitiyoti, Limitless brightness,M
Baadal,   Cloud,M
Baahir,   Dazzling; Brilliant,M
Baalaark,   The rising sun,M
Baanbhatt,   Name of an ancient poet,M
Babala,   Above,M
Babar,   Lion,M
Babulal,   Beautiful,M
Badal,   Cloud; Rain,M
Badri,   Lord Vishnu,M
Badrinath,   Lord of Mount Badri; Lord Vishnu,M
Baha,   Beautiful; Magnificent,M
Bahaj,   Jubilation; Happiness; Joy; Rejoicing,M
Bahubali,   A Jain Tirthakar,M
Bahula,   A star,M
Bahuleya,   Lord Kartikeya,M
Bahuliya,   Lord Kartikeya,M
Bahumanya,   Honoured by many,M
Bahurai,   With great riches,M
Bahuvida,   Scholarly; Wise; Enlightened,M
Bajrang,   A name of Lord Hanuman,M
Bakhtawar,   One who brings good luck,M
Bakool,   Flower,M
Bakul,   A kind of tree,M
Bakula,   A kind of flower,M
Baladeya,   Giver of strength,M
Baladhi,   Deep insight,M
Baladhika,   Unequalled in strength,M
Baladhya,   Full of strength,M
Balagopal,   Baby krishna,M
Balaji,   A name of Vishnu,M
Balakumar,   Youthful,M
Balamani,   Young jewel,M
Balamohan,   One who is attractive,M
Balan,   Youthful,M
Balanath,   Lord of strength,M
Balanuj,   The younger brother of Balaram; Another name for Krishna,M
Balaraj,   Strong,M
Balaram,   The brother of Lord Krishna,M
Balaravi,   The morning sun,M
Balark,   The rising sun,M
Balarun,   Dawn,M
Balavan,   Powerful,M
Balavant,   Lord Hanuman,M
Balbhadra,   Brother of Krishna,M
Balbir,   Strong,M
Baldev,   Godlike in power; Strong,M
Balendra,   Lord Krishna,M
Balgopal,   Baby krishna,M
Balgovind,   Krishna,M
Bali,   Monkey king,M
Balin,   Healthy; Energetic; Powerful,M
Balraj,   King,M
Balram,   Krishna's brother,M
Balveer,   Powerful,M
Balvinder,   Strong,M
Balvindra,   Strong,M
Balwan,   Strong Person,M
Balwant,   Strong,M
Balwin,   Bold Protector,M
Banaj,   Lotus,M
Banajita,   One who conquers with arrows; Another name for Vishnu,M
Banbihari,   Lord Krishna,M
Bandhu,   Friend,M
Bandhul,   Pleasing,M
Bandhula,   Charming,M
Bandish,   Binding; Attach together,M
Baneet,   Polite,M
Banke,   Lord Krishna,M
Bankim,   Curved,M
Banshi,   Flute,M
Bansi,   Flute,M
Bansilal,   Lord Krishna,M
Banwari,   Lord Krishna,M
Baradwaj,   A star,M
Baran,   Noble Man,M
Barid,   Cloud,M
Barindra,   The ocean,M
Barry,   Spear; Javelin,M
Barsaat,   Welcome rain,M
Barton,   Placename of where Barley was grown,M
Barun,   Lord of the Sea,M
Basaam,   Smiling,M
Basant,   Spring,M
Basanta,   Spring,M
Basav,   Bull; Mighty; Masculine; A minister of a jaina king who developed Vira Saiva system,M
Basavaraj,   Lord of bulls,M
Basdev,   Fire,M
Basel,   Brave,M
Bashaar,   Bringer of glad tidings,M
Bashir,   Harbinger of good things,M
Bashvith,   A flower,M
Basistha,  A sage,M
Basudha,  Earth,M
Batuk,  Boy,M
Bayaz,  White; Bright,M
Beau,  Handsome,M
Benjamin,  Son of my right hand,M
Bernard,  Bear Brave,M
Bhadra,  Auspicious,M
Bhadrak, Handsome,M
Bhadraksh,  One with beautiful eyes,M
Bhadrang,  Beautiful body,M
Bhadresh,  Lord Shiva,M
Bhagat,   Devotee,M
Bhagirat,   With glorious chariot,M
Bhagirath,   One who brought river Ganga to the earth,M
Bhagwant,   Fortunate,M
Bhagyaraj,   Lord of luck,M
Bhagyesh,   God of luck,M
Bhairav,   Lord Shiva,M
Bhajan,   Adoration,M
Bhakti,   Devotion; Prayer,M
Bhalendra,   Lord of light,M
Bhanu,   The sun,M
Bhanudas,   A devotee of the sun,M
Chaanakya,   Name of Kautilya; The great scholar,M
Chaggan,   The Zodiac sign of Aries,M
Chahel,   Good cheer,M
Chain,   Peace,M
Chaitan,   Name of Kautilya; The great scholar,M
Chaitanya,   The name of a saint; Consciousness; Life; Knowledge,M
Chaitnya,   Consciousness; Wisdom; Soul; Mind; Spirit; Founder of the four principles of Vaishinav sect; A reincarnation of Krishna,M
Chaitya,   Pertaining to the mind; Indivdual soul; A stupa built in Jain or Buddhist places of worship,M
Chaityak,   Abode of consciousness; A place of worship; A mountain near Magadha; Which is worshipped,M
Chaiyn,   Krishna,M
Chakor,   A bird enamoured of the moon,M
Chakradev,   Lord Vishnu,M
Chakresh,   Lord vishnu,M
Chakshu,   Eye,M
Chaman,   Garden,M
Chamanlal,   Garden,M
Champak,   A flower,M
Chanak,   Father of Chaanakya,M
Chanakya,   Son of chanaka,M
Chanchal,   Restless,M
Chand,   Moon,M
Chandak,   The moon,M
Chandan,   Sandalwood,M
Chandavir,   Very brave; A Buddhist deity,M
Chander,   Moon,M
Chandnin,   Anointed with sandalwood; Another name for Shiva,M
Chandra,   The moon,M
Chandrak,   Peacock feather,M
Chandran,   The moon,M
Chandrat,   The moon's nectar; Fair; Handsome; Peaceful; Nectar like; A physician of AncientIndia,M
Chandresh,   Lord of the moon,M
Chane,   Name of a god; Dependability,M
Chanyana,   Moon,M
Chapal,   Quick,M
Charak,   An ancient physician,M
Charan,   Feet,M
Charanjit,   One who has won over the lord,M
Charanpal,   Protection under the Guru's lotus feet,M
Charith,   Character,M
Charu,   Agreeable; Charming; Genteel,M
Chatresh,   Lord Shiva,M
Chatur,   Clever,M
Chatura,   Clever,M
Chaturnik,   Four faced; A name for Varuna,M
Chayan,   To choose,M
Chayank,   Another name for the moon,M
Cheliyan,   Rich; Resourceful; Prosperous,M
Chellapan,   Precious,M
Chemmal,   Premier; Best,M
Chetan,   Consciousness; Life,M
Chetana,   Consciousness,M
Chetas,   Wisdom; Grandeur; Soul; Heart; Mind,M
Chethan,   Charming,M
Chhandak,   The charioteer of Lord Buddha,M
Chidambar,   One whose heart is as big as the sky,M
Chidhatma,   Big soul,M
Chikku,   Sweet; Fruit,M
Chiman,   Curious,M
Chinkoo,   Chinky or Round face,M
Chinmay,   Full of knowledge; Blissful,M
Chinmayu,   Supreme consciousness,M
Chintak,   Thinker,M
Chintan,   Thought,M
Chintya,   Worthy of thought,M
Chinu,   Small,M
Chirag,   Lamp,M
Chiranjiv,   Immortal,M
Chirantan,   Immortal,M
Chirayu,   Immortal,M
Chirtrang,   With multicoloured body,M
Chitesh,   Lord of the soul,M
Chithayu,   Born of intellect,M
Chitraksh,   Beautiful eyed,M
Chitral,   Of variegated colour,M
Chitrasen,   A king of Gandharvas,M
Chitresh,   Moon; Wonderful lord,M
Chitrish,   King of Chitra; Wonderful lord; Another name for moon,M
Chittesh,   Lord of the soul,M
Chudamani,   Jewel adorned by the gods; Crest jewel,M
Chunmay,   Supreme consciousness,M
Citrya,   Brilliant; Sparkling,M
Daamodar,   A name of Krishna,M
Daaruk,   Charioteer of Krishna; Tree,M
Daarun,   Hard Male Hindu,M
Dabang,   Brave,M
Dabeet,   Warrior,M
Dadhikra,   Born from the Ocean of Milk; Fast moving; A divine horse who personifies the morning sun,M
Dadhyan,   Seller of milk; One who brings the milk; A hermit who was taught by Indra the art of preparing rice for offering to the gods,M
Dagan,   Corn or grain,M
Daha,   Blazing; Very bright,M
Dahana,   A Rudra,M
Daitya,   A Non Aryan,M
Daityahan,   Killer of demons; Another name for Shiva,M
Daivya,   Divine,M
Daiwik,   By the grace of God,M
Dajasi,   Child of Sephiroth,M
Daksayan,   Coming from Daksa,M
Daksh,   Expert; Talented; Fit; Fire; Gold Daksh son of Daksa; Precious son; Son of a perfect being,M
Daksha,   Able; Talented,M
Dakshesh,   Shiva,M
Dakshi,   The glorious,M
Dakshin,   South direction,M
Dakshina,   Donation to god,M
Dalajit,   Winning over a group,M
Dalapathi,   Leader of a group,M
Dalbhya,   Belonging to wheels,M
Dalbir,   Soldier,M
Daljeet,   The conqueror of forces,M
Dalpati,   Commander of group,M
Daman,   One who controls,M
Damati,   One who subdues a conquerer,M
Damian,   Tamer,M
Damik,   Earth; Land; Field,M
Damodar,   Lord Ganapati,M
Damon,   Blue sky,M
Danah,   Intelligent; Knowledgeable,M
Dandak,   A forest,M
Daniel,   God is my judge,M
Danish,   To be clever; Mercyfull and forseening,M
Danta,   Calm; A name for Lord Hanuman,M
Danuj,   Born of danu; A danava,M
Danvir,   Charitable,M
Darpad,   Lord Shiva,M
Darpak,   Kamdev; God of love,M
Darpan,   A mirror,M
Darsan,   Philosophy; Seeing clearly,M
Darsh,   Lord Krishna,M
Darshak,   Wind blowing fast,M
Darshan,   Sight; View,M
Darshil,   Beautiful looking,M
Darshish,   Mighty; Powerful,M
Darshit,   Display,M
Daruka,   Deodar tree,M
Darun,   As hard as wood,M
Dasharath,   The father of Lord Rama,M
Dasmaya,   Beautiful,M
Datta,   Given; Granted; Presented,M
Dattey,   Lord Indra,M
Daulat,   Wealth,M
Davanand,   Joy of god,M
David,   Beloved,M
Dawoud,   A Prophet's name,M
Dayaal,   Kind hearted,M
Dayakar,   Merciful Lord Shiva,M
Dayakara,   Compassionate,M
Dayamay,   Full of mercy,M
Dayamit,   Kind; Merciful,M
Dayanand,   One who likes being merciful,M
Dayanidhi,   Treasure house of mercy,M
Dayaram,   Merciful,M
Dayasagar,   Extremely kind; Sea of mercy,M
Deelaksha,   Wind,M
Deenanath,   Lord of the poor,M
Deep,   A lamp,M
Deepak,   Lamp; Kindle; Lustrous,M
Deepan,   Lighting up,M
Deepankar,   One who lights lamps; Lord of light,M
Deepanshu,   King of light,M
Deepdas,   Servant of Light,M
Deepen,   Name of poet,M
Deependra,   Lord of light,M
Deependu,   Bright moon,M
Deepesh,   Lord of light,M
Deepinder,   God's light,M
Deepit,   Lighted,M
Deepsharn,   Deep search,M
Deeptendu,   Bright moon,M
Deeptesh,   Lord of light,M
Deeptiman,   Lustrous,M
Deeptimoy,   Lustrous,M
Dehabhuj,   Another name for Lord Shiva,M
Denise,   From Dionysisu; God of wine,M
Deshak,   One who directs; Guide,M
Dev,   God; King,M
Deva,   Deity,M
Devaapi,   An ancient king,M
Devabrata,   A name of Bhisma,M
Devadas,   Follower of God,M
Devadatta,   God given,M
Devadeva,   Lord of All Lords,M
Devadhipa,   Lord of the gods,M
Devadutt,   Gift of god,M
Devaj,   From God,M
Devajyoti,   Brightness of the Lord,M
Devak,   Divine,M
Devan,   Like a God,M
Devanand,   Joy of god,M
Devanath,   Lord of the gods; Another name for Shiva Devansh,M
Devang,   Part of god,M
Devank,   Godly,M
Devansh,   Part of God,M
Devaraj,   King of the gods,M
Devarpana,   Offerings to the gods,M
Devarsh,   God's gift,M
Devarshi,   Another name for Narada,M
Devarsi,   Sage of the Devas,M
Devarya,   Divine belief,M
Devashish,   Blessings of God,M
Devavrat,   Great bhishma,M
Devbrata,   Bhishma,M
Devdarsh,   Worshipper of God,M
Devdas,   Servant of god,M
Devdatta,   Given by God,M
Devdutta,   King,M
Deven,   Resembling a God,M
Devendar,   King of Lord's,M
Devendra,   King of gods; Lord Indra,M
Devesh,   God of gods; Lord Shiva,M
Deveshwar,   Lord Shiva,M
Devesth,   Best among the gods,M
Devhish,   Gift; Generosity; Charity,M
Devi,   Goddess,M
Devilal,   Son of godess,M
Devin,   Resembling a God,M
Devjeet,   God's triumph,M
Devkumar,   Son of God,M
Devnath,   King of gods,M
Devpad,   Divine feet,M
Devraaj,   King among gods; Name of Indra,M
Devraj,   King of gods,M
Devrat,   Spiritual,M
Devsena,   Army of gods,M
Devya,   Devine power,M
Dewanshu,   One who is attached to god,M
Deyaan,   Concentration,M
Dhairya,   Patience,M
Dhairyash,   Patience and Success,M
Dhakshesh,   Lord Shiva,M
Dhanajit,   Wealth,M
Dhananjay,   One who wins wealth; Arjuna,M
Dhanapati,   Lord of wealth,M
Dhanesh,   Lord of wealth,M
Dhanraj,   Lord Kuber,M
Dhansukh,   Wealthy; Happy,M
Dhanu,   Man of wealth,M
Dhanvant,   Wealthy,M
Dhanvin,   Lord Shiva,M
Dhanvine,   A Name for Lord Rama,M
Dhanya,   Giver of Wealth; Lord Vishnu,M
Dharak,   The one who Holds,M
Dharamdeep,   Lamp of religion,M
Dharamdev,   God of faith,M
Dharamjyot,   Light of righteousness and virtues,M
Dharendra,   King of the earth,M
Dharma,   Law religious,M
Dharmadas,   One who serves his religion,M
Dharmadev,   Lord of law,M
Dharman,   Bearer of Dharma; One who supports Dharma,M
Dharmaraaj,   King of religion,M
Dharmender,   Lord of dharma,M
Dharmendra,   God of religion,M
Dharmendu,   Light of religion,M
Dharmesh,   Master of religion,M
Dharmi,   Religious,M
Dharmik,   A Name for Lord Ganesha,M
Dharmpal,   Protector of his religion,M
Dharmveer,   Religious,M
Dharuna,   A rishi,M
Dharya,   Patient,M
Dhatri,   A son of Vishnu; Lakshmi,M
Dhaval,   Fair complexioned,M
Dhavala,   Dazzling white; Handsome,M
Dhavit,   White; Washed; Pure; Clean,M
Dhawal,   White,M
Dheeman,   Intelligent,M
Dheemant,   Wise; Intelligent,M
Dheer,   Gentle,M
Dheeraj,   Emperor; Patience,M
Dheeran,   Achiever,M
Dheerandra,   God of courage,M
Dheerendra,   God of courage,M
Dheivamani,   Blessed gem,M
Dherya,   Sober Person; Patience,M
Dhevan,   Godly,M
Dhevaneyan,   Pious,M
Dhigana,   Masti,M
Dhikshit,   Initiated,M
Dhimant,   Intelligent,M
Dhinakar,   The sun,M
Dhinanta,   Evening,M
Dhipin,   Exciting,M
Dhir,   Wise,M
Dhiraj,   Emperor,M
Dhiraja,   Born of tolerance,M
Dhiren,   One who is strong,M
Dhirendra,   Lord of the brave,M
Dhitik,   Wise; Thoughtful; A Buddhistpatriachal saint,M
Dhivakar,   The sun,M
Dhrishit,   Courageous; Fearless; Heroic,M
Dhritiman,   Patient,M
Dhrupad,   Lord Krishna,M
Dhrupal,   Beautiful,M
Dhruv,   Pole star,M
Dhruva,   Unshakeable the Pole Star,M
Dhruvan,   Pole star,M
Dhuha,   Forenoon,M
Dhumal,   Purple; Smoke coloured,M
Dhureen,   Accomplished,M
Dhvanya,   Suggested meaning,M
Dhwani,   Sound,M
Dhwanit,   Sound,M
Dhyana,   Meditation,M
Dhyanam,   Attentive,M
Dhyanesh,   Meditative,M
Digambar,   Sky clad; Another name for Siva,M
Digamber,   Nacked,M
Digant,   Horizon,M
Digvijay,   Conqueror,M
Dikshit,   Initated into a religious order,M
Dilan,   Loving,M
Dilawar,   Brave,M
Dilber,   Lover,M
Dileep,   King of the solar race,M
Diler,   Brave,M
Dilip,   A king; Ancestor of Rama; An ancestor of Lord Rama; A king,M
Diliso,   Beautiful sky,M
Dilshad,   Joyous,M
Dinanath,   Protector,M
Dinapati,   The sun,M
Dinar,   Gold coin,M
Dindayal,   Kindto the poor,M
Dinendra,   Lord of the day; The sun,M
Dinesh,   Sun; God of the day,M
Dinkar,   Sun,M
Dipak,   Lamp,M
Dipen,   Lord of the lamp,M
Dipendra,   Sun,M
Dipendu,   Moon,M
Dipesh,   Lord of light,M
Diptanshu,   Sun,M
Dipten,   Brightened,M
Dipu,   Flame; Light; Shinning,M
Dishan,   Sides of happiness,M
Dishant,   Horizon,M
Divakar,   The sun,M
Divam,   Pure,M
Divesh,   Light,M
Divij,   One who has appeared from heaven,M
Divik,   God's rays,M
Divit,   Immortal,M
Divjot,   Divine light,M
Divyam,   A part of divine,M
Divyanga,   Divine body,M
Divyansh,   Part of divine,M
Divyanshu,   Parts of DEV,M
Divyendu,   Bright moon,M
Divyesh,   Sun,M
Drake,   Dragon,M
Drewv,   North Star,M
Drupad,   A king; Father of Draupadi,M
Duddu,   Love of sun,M
Duff,   Dark Faced,M
Dulal,   Dear one,M
Dular,   Love,M
Duncan,   Brown Warrior,M
Duranjaya,   A heroic son,M
Durgesh,   Lord of forts,M
Durijesh,   Moon,M
Durjaya,   Difficult to conquer,M
Durva,   Heavenly grass,M
Durwin,   Best friend,M
Dushyant,   Destroyer of evil,M
Dushyanta,   A king from the epic Mahabharata,M
Dustin,   Brave warrior,M
Dvarik,   Door attendant; One of the eighteen attendants of Surya,M
Dwaipayan,   The sage Vyasa,M
Dwarakaa,   Capital; Lord Krishna's kingdom,M
Dweep,   Island,M
Dwij,   Saint,M
Dwijain,   Moon,M
Dwijaraj,   King of Brahmins; The moon,M
Dwijendra,   King of Brahmins; The moon,M
Dwijesh,   River,M
Dwit,   Second,M
Dyaus,   King of heaven and the first man on earth,M
Dylan,   The sea,M
Dyotak,   Symbol,M
Dyotin,   Expressing,M
Dyuksa,   Light; Brilliant,M
Dyumani,   Lord Shiva,M
Dyumat,   Brilliant; Splendid; Excellent,M
Dyumna,   Glorious,M
Dyumnik,   Inspired; Grand; Mighty; A son of Vashisth,M
Dyutit,   Illuminated,M
Eashan,   Lord Vishnu,M
Ebhanan,   Ganpati,M
Eeshwar,   God,M
Egaiarasu,   King of charity,M
Eha,   Lord Vishnu,M
Eka,   Lord Vishnu,M
Ekaaksha,   One eyed; Shiva,M
Ekaakshara,   A Name for Lord Ganesha,M
Ekabhakta,   One who worships a single deity,M
Ekachakra,   Son of Kashyapa,M
Ekachandra,   The only moon,M
Ekachit,   Possessing one's mind; Complete concentration; Calm; Reposed,M
Ekachith,   With one mind,M
Ekadant,   Lord ganesh,M
Ekagr,   Complete concentration; Poised; Peaceful; Stable; Alert,M
Ekagrah,   Focused,M
Ekaksha,   Lord Shiva,M
Ekakshara,   Oneself; Alone,M
Ekalavya,   Renowned for his devotion to his guru,M
Ekaling,   Lord Shiva,M
Ekalinga,   Shiva,M
Ekambar,   Sky,M
Ekana,   Lord Vishnu,M
Ekanath,   King,M
Ekanga,   Bogyguard,M
Ekanjeet,   God's triumph,M
Ekanpreet,   Love for God,M
Ekansh,   Whole,M
Ekantin,   Devoted to one object; Aname for the follower of Vishnu,M
Ekapad,   Lord Shiva,M
Ekaraj,   Emperor,M
Ekaraya,   One ruler,M
Ekatan,   Closely attentive,M
Ekatma,   One soul,M
Ekavir,   Bravest of the brave,M
Ekavira,   Lord Shiva's daughter,M
Eklavya,   Student who learned bow by watching,M
Eknath,   Poet; Saint,M
Ekodar,   Brother,M
Emet,   Desire; Aspiration,M
Emilio,   Winning one or flatterer,M
Enoch,   Gods disciple,M
Entilak,   Marked; Another name for moon,M
Eric,   Ruler,M
Erik,   Ever Powerful,M
Esa,   Desirable; Another name for Vishnu,M
Esh,   God,M
Eshaan,   Desiring and wishing,M
